quarterbeats	duration_qb	mc	mn	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
104	1.0	29	26		1/2	1/2	2/2	2	1	1/4		1/4	1		-2	46	Bb2	2	293
104	1.0	29	26		1/2	1/2	2/2	1	1	1/4		1/4	1		1	67	G4	4	287
105	1.0	29	26		3/4	3/4	2/2	2	1	1/4		1/4	1		3	45	A2	2	294
105	0.5	29	26		3/4	3/4	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	288
211/2	0.5	29	26		7/8	7/8	2/2	1	1	1/8		1/8	1		3	69	A4	4	289
106	1.0	30	27		0	0	2/2	2	1	1/4		1/4	1		1	43	G2	2	303
106	0.5	30	27		0	0	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	295
213/2	0.5	30	27		1/8	1/8	2/2	1	1	1/8		1/8	1		6	66	F#4	4	296
107	0.5	30	27		1/4	1/4	2/2	1	1	1/8		1/8	1		1	67	G4	4	297
215/2	0.5	30	27		3/8	3/8	2/2	1	1	1/8		1/8	1		2	62	D4	4	298
108	1.0	30	27		1/2	1/2	2/2	2	1	1/4		1/4	1		-1	41	F2	2	304
108	0.5	30	27		1/2	1/2	2/2	1	1	1/8		1/8	1		5	71	B4	4	299
217/2	0.5	30	27		5/8	5/8	2/2	1	1	1/8		1/8	1		-1	65	F4	4	300
109	0.5	30	27		3/4	3/4	2/2	1	1	1/8		1/8	1		1	67	G4	4	301
219/2	0.5	30	27		7/8	7/8	2/2	1	1	1/8		1/8	1		2	62	D4	4	302
110	1.0	31	28		0	0	2/2	2	1	1/4		1/4	1		-3	39	Eb2	2	313
110	0.5	31	28		0	0	2/2	1	1	1/8		1/8	1		0	72	C5	5	305
221/2	0.5	31	28		1/8	1/8	2/2	1	1	1/8		1/8	1		2	62	D4	4	306
111	0.5	31	28		1/4	1/4	2/2	2	1	1/8		1/8	1		1	55	G3	3	314
111	0.5	31	28		1/4	1/4	2/2	1	1	1/8		1/8	1		-3	63	Eb4	4	307
223/2	0.5	31	28		3/8	3/8	2/2	2	1	1/8		1/8	1		-1	53	F3	3	315
223/2	0.5	31	28		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	308
112	1.0	31	28		1/2	1/2	2/2	2	1	1/4		1/4	1		-3	51	Eb3	3	316
112	0.5	31	28		1/2	1/2	2/2	1	1	1/8		1/8	1		0	72	C5	5	309
225/2	0.5	31	28		5/8	5/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	310
113	1.0	31	28		3/4	3/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	317
113	0.5	31	28		3/4	3/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	311
227/2	0.5	31	28		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	312
114	1.0	32	29		0	0	2/2	2	1	1/4		1/4	1		0	48	C3	3	326
114	0.5	32	29		0	0	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	318
229/2	0.5	32	29		1/8	1/8	2/2	1	1	1/8		1/8	1		5	71	B4	4	319
115	0.5	32	29		1/4	1/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	320
231/2	0.5	32	29		3/8	3/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	321
116	1.0	32	29		1/2	1/2	2/2	2	1	1/4		1/4	1		-2	46	Bb2	2	327
116	0.5	32	29		1/2	1/2	2/2	1	1	1/8		1/8	1		4	76	E5	5	322
233/2	0.5	32	29		5/8	5/8	2/2	1	1	1/8		1/8	1		-2	70	Bb4	4	323
117	0.5	32	29		3/4	3/4	2/2	1	1	1/8		1/8	1		0	72	C5	5	324
235/2	0.5	32	29		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	325
118	1.0	33	30		0	0	2/2	2	1	1/4		1/4	1		3	45	A2	2	336
118	0.5	33	30		0	0	2/2	1	1	1/8		1/8	1		-1	77	F5	5	328
237/2	0.5	33	30		1/8	1/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	329
119	0.5	33	30		1/4	1/4	2/2	2	1	1/8		1/8	1		0	60	C4	4	337
119	0.5	33	30		1/4	1/4	2/2	1	1	1/8		1/8	1		3	69	A4	4	330
239/2	0.5	33	30		3/8	3/8	2/2	2	1	1/8		1/8	1		-2	58	Bb3	3	338
239/2	0.5	33	30		3/8	3/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	331
120	1.0	33	30		1/2	1/2	2/2	2	1	1/4		1/4	1		3	57	A3	3	339
120	0.5	33	30		1/2	1/2	2/2	1	1	1/8		1/8	1		6	78	F#5	5	332
241/2	0.5	33	30		5/8	5/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	333
121	1.0	33	30		3/4	3/4	2/2	2	1	1/4		1/4	1		1	55	G3	3	340
121	0.5	33	30		3/4	3/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	334
243/2	0.5	33	30		7/8	7/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	335
122	1.0	34	31		0	0	2/2	2	1	1/4		1/4	1		6	54	F#3	3	349
122	0.5	34	31		0	0	2/2	1	1	1/8		1/8	1		3	81	A5	5	341
245/2	0.5	34	31		1/8	1/8	2/2	1	1	1/8		1/8	1		4	76	E5	5	342
123	0.5	34	31		1/4	1/4	2/2	1	1	1/8		1/8	1		6	78	F#5	5	343
247/2	0.5	34	31		3/8	3/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	344
124	1.0	34	31		1/2	1/2	2/2	2	1	1/4		1/4	1		4	52	E3	3	350
124	0.5	34	31		1/2	1/2	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	345
249/2	0.5	34	31		5/8	5/8	2/2	1	1	1/8		1/8	1		6	78	F#5	5	346
125	0.5	34	31		3/4	3/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	347
251/2	0.5	34	31		7/8	7/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	348
126	1.0	35	32		0	0	2/2	2	1	1/4		1/4	1		2	50	D3	3	359
126	0.5	35	32		0	0	2/2	1	1	1/8		1/8	1		0	84	C6	6	351
253/2	0.5	35	32		1/8	1/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	352
127	1.0	35	32		1/4	1/4	2/2	2	1	1/4		1/4	1		6	54	F#3	3	360
127	0.5	35	32		1/4	1/4	2/2	1	1	1/8		1/8	1		2	74	D5	5	353
255/2	0.5	35	32		3/8	3/8	2/2	1	1	1/8		1/8	1		0	84	C6	6	354
128	1.0	35	32		1/2	1/2	2/2	2	1	1/4		1/4	1		1	55	G3	3	361
128	0.5	35	32		1/2	1/2	2/2	1	1	1/8		1/8	1		-2	82	Bb5	5	355
257/2	0.5	35	32		5/8	5/8	2/2	1	1	1/8		1/8	1		3	81	A5	5	356
129	1.0	35	32		3/4	3/4	2/2	2	1	1/4		1/4	1		3	57	A3	3	362
129	0.5	35	32		3/4	3/4	2/2	1	1	1/8		1/8	1		1	79	G5	5	357
259/2	0.5	35	32		7/8	7/8	2/2	1	1	1/8		1/8	1		6	78	F#5	5	358
130	1.0	36	33		0	0	2/2	2	1	1/4		1/4	1		-2	58	Bb3	3	370
130	0.5	36	33		0	0	2/2	1	1	1/8		1/8	1		1	79	G5	5	363
261/2	0.5	36	33		1/8	1/8	2/2	1	1	1/8		1/8	1		2	74	D5	5	364
131	1.0	36	33		1/4	1/4	2/2	2	1	1/4		1/4	1		0	60	C4	4	371
131	0.5	36	33		1/4	1/4	2/2	1	1	1/8		1/8	1		-3	75	Eb5	5	365
263/2	0.5	36	33		3/8	3/8	2/2	1	1	1/8		1/8	1		0	72	C5	5	366
132	1.0	36	33		1/2	1/2	2/2	2	1	1/4		1/4	1		2	62	D4	4	372
132	1.0	36	33		1/2	1/2	2/2	1	1	1/4		1/4	1		-2	70	Bb4	4	367
133	1.0	36	33		3/4	3/4	2/2	2	1	1/4		1/4	1		2	50	D3	3	373
133	0.5	36	33		3/4	3/4	2/2	1	1	1/8		1/8	1		3	69	A4	4	368
267/2	0.5	36	33		7/8	7/8	2/2	1	1	1/8		1/8	1		1	67	G4	4	369
134	2.0	37	34		0	0	2/2	2	1	1/2		1/2	1		1	43	G2	2	375
134	2.0	37	34		0	0	2/2	1	1	1/2		1/2	1		1	67	G4	4	374
