mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	decrescendo_hairpin
22	22	65	65	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	293								
22	22	63	63	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	294								
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	3	1/8	1/8	1	295								
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	3	1/8	1/8	1	296								
22	22	63	63	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	297								
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	298								
22	22	65	65	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	299								
22	22	64	64	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	300								
23	23	66	66	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	301								
23	23	267/4	267/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	302								
23	23	535/8	535/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	303								
23	23	67	67	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	304								
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	305								
23	23	68	68	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	306								
23	23	273/4	273/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	307								
23	23	137/2	137/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	308								
23	23	275/4	275/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	309								
23	23	66	66	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	310								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	311								
23	23	66	66	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	312								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	313								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	314								
23	23	66	66	1.0	0	0	Chord	3/4	2	2	1/4	1/4	1	315								
23	23	67	67	1.0	1/4	1/4	Chord	3/4	2	2	1/4	1/4	1	316								
23	23	68	68	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	317								
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	318	ornamentShortTrill							
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	319								
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	320								
24	24	71	71	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	321								
24	24	69	69	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	322								
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	323								
24	24	69	69	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	324								
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	3	1/8	1/8	1	325								
24	24	69	69	0.125	0	0	Chord	3/4	2	1	1/32	1/32	1	326								
24	24	553/8	553/8	0.125	1/32	1/32	Chord	3/4	2	1	1/32	1/32	1	327								
24	24	277/4	277/4	0.125	1/16	1/16	Chord	3/4	2	1	1/32	1/32	1	328								
24	24	555/8	555/8	0.125	3/32	3/32	Chord	3/4	2	1	1/32	1/32	1	329								
24	24	139/2	139/2	0.125	1/8	1/8	Chord	3/4	2	1	1/32	1/32	1	330								
24	24	557/8	557/8	0.125	5/32	5/32	Chord	3/4	2	1	1/32	1/32	1	331								
24	24	279/4	279/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32	1/32	1	332								
24	24	559/8	559/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	333								
24	24	70	70	0.125	1/4	1/4	Chord	3/4	2	1	1/32	1/32	1	334								
24	24	561/8	561/8	0.125	9/32	9/32	Chord	3/4	2	1	1/32	1/32	1	335								
24	24	281/4	281/4	0.125	5/16	5/16	Chord	3/4	2	1	1/32	1/32	1	336								
24	24	563/8	563/8	0.125	11/32	11/32	Chord	3/4	2	1	1/32	1/32	1	337								
24	24	141/2	141/2	0.125	3/8	3/8	Chord	3/4	2	1	1/32	1/32	1	338								
24	24	565/8	565/8	0.125	13/32	13/32	Chord	3/4	2	1	1/32	1/32	1	339								
24	24	283/4	283/4	0.125	7/16	7/16	Chord	3/4	2	1	1/32	1/32	1	340								
24	24	567/8	567/8	0.125	15/32	15/32	Chord	3/4	2	1	1/32	1/32	1	341								
24	24	71	71	0.125	1/2	1/2	Chord	3/4	2	1	1/32	1/32	1	342								
24	24	569/8	569/8	0.125	17/32	17/32	Chord	3/4	2	1	1/32	1/32	1	343								
24	24	285/4	285/4	0.125	9/16	9/16	Chord	3/4	2	1	1/32	1/32	1	344								
24	24	571/8	571/8	0.125	19/32	19/32	Chord	3/4	2	1	1/32	1/32	1	345								
24	24	143/2	143/2	0.125	5/8	5/8	Chord	3/4	2	1	1/32	1/32	1	346								
24	24	573/8	573/8	0.125	21/32	21/32	Chord	3/4	2	1	1/32	1/32	1	347								
24	24	287/4	287/4	0.125	11/16	11/16	Chord	3/4	2	1	1/32	1/32	1	348								
24	24	575/8	575/8	0.125	23/32	23/32	Chord	3/4	2	1	1/32	1/32	1	349								
25	25	72	72	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	350	ornamentMordent							
25	25	291/4	291/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	351								
25	25	583/8	583/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	352								
25	25	73	73	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	353								
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	354								
25	25	74	74	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	355	ornamentShortTrill							
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	356								
25	25	72	72	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	357								
26	26	75	75	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	358								
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	359								
26	26	75	75	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	360								
26	26	151/2	151/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	361								
26	26	76	76	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	362								
26	26	75	75	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	363	ornamentMordent							
26	26	303/4	303/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32	1/32	1	364								
26	26	607/8	607/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	365								
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	366								
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	367								
26	26	77	77	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	368	ornamentShortTrill							
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	369								
27	27	78	78	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	370	ornamentMordent							
27	27	315/4	315/4	0.125	3/16	3/16	Chord	3/4	1	1	1/32	1/32	1	371								
27	27	631/8	631/8	0.125	7/32	7/32	Chord	3/4	1	1	1/32	1/32	1	372								
27	27	79	79	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	373								
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	374								
27	27	80	80	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	375	ornamentShortTrill							
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	376								
27	27	78	78	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	377								
27	27	78	78	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	378								
27	27	157/2	157/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	379								
27	27	79	79	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	380								
28	28	81	81	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	381								
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	382								
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	383								
28	28	81	81	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	384								
28	28	163/2	163/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	385								
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	386								
28	28	81	81	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	387								
28	28	82	82	2.0	1/4	1/4	Chord	3/4	1	3	1/2	1/2	1	388								
28	28	81	81	0.75	0	0	Chord	3/4	2	1	3/16	1/8	3/2	389								
28	28	327/4	327/4	0.125	3/16	3/16	Chord	3/4	2	1	1/32	1/32	1	390								
28	28	655/8	655/8	0.125	7/32	7/32	Chord	3/4	2	1	1/32	1/32	1	391								
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8	1/8	1	392								
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	393								
28	28	83	83	0.5	1/2	1/2	Chord	3/4	2	1	1/8	1/8	1	394	ornamentShortTrill							
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8	1/8	1	395								
29	29	84	84	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	396								
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	397								
29	29	85	85	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	398								
29	29	84	84	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	399								
29	29	339/4	339/4	0.125	3/16	3/16	Chord	3/4	1	2	1/32	1/32	1	400								
29	29	679/8	679/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32	1/32	1	401								
29	29	85	85	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	402								
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	403								
29	29	86	86	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	404	ornamentShortTrill							
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	405								
29	29	84	84	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	406								
29	29	169/2	169/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	407								
29	29	85	85	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	408								
30	30	87	87	0.5	0	0	Chord	3/4	1	1	1/8	1/8	1	409								
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	1	1	1/8	1/8	1	410								
30	30	88	88	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	411								
30	30	87	87	0.75	0	0	Chord	3/4	1	2	3/16	1/8	3/2	412								
30	30	351/4	351/4	0.125	3/16	3/16	Chord	3/4	1	2	1/32	1/32	1	413								
30	30	703/8	703/8	0.125	7/32	7/32	Chord	3/4	1	2	1/32	1/32	1	414								
30	30	88	88	0.5	1/4	1/4	Chord	3/4	1	2	1/8	1/8	1	415								
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	2	1/8	1/8	1	416								
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	417	ornamentShortTrill							
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	418								
30	30	87	87	0.5	0	0	Chord	3/4	2	1	1/8	1/8	1	419								
30	30	175/2	175/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8	1/8	1	420								
30	30	88	88	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	421								
30	30	89	89	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	422	ornamentShortTrill							
31	31	90	90	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	423								
31	31	92	92	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	424								
31	31	90	90	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	425								
31	31	181/2	181/2	0.5	1/8	1/8	Chord	3/4	1	2	1/8	1/8	1	426								
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	2	1/4	1/4	1	427	ornamentMordent							
31	31	92	92	0.5	1/2	1/2	Chord	3/4	1	2	1/8	1/8	1	428								
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	2	1/8	1/8	1	429								
31	31	91	91	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	430	ornamentMordent							
31	31	92	92	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	431								
32	32	93	93	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	432								
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	1	1/2	1/2	1	433								
32	32	93	93	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	434								
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	2	1/2	1/2	1	435								
32	32	94	94	2.0	1/4	1/4	Chord	3/4	1	3	1/2	1/2	1	436								
32	32	187/2	187/2	0.25	1/8	1/8	Chord	3/4	2	1	1/16	1/16	1	437								
32	32	375/4	375/4	0.25	3/16	3/16	Chord	3/4	2	1	1/16	1/16	1	438								
32	32	94	94	2.0	1/4	1/4	Chord	3/4	2	1	1/2	1/2	1	439								
32	32	93	93	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	440								
32	32	94	94	2.0	1/4	1/4	Chord	3/4	2	3	1/2	1/2	1	441								
