mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible
30	27	108	110	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	299						
30	27	217/2	221/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	300						
30	27	109	111	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	301						
30	27	219/2	223/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	302						
30	27	106	108	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	303						
30	27	108	110	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	304						
31	28	110	112	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	305						
31	28	221/2	225/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	306						
31	28	111	113	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	307						
31	28	223/2	227/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	308						
31	28	112	114	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	309						
31	28	225/2	229/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	310						
31	28	113	115	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	311						
31	28	227/2	231/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	312						
31	28	110	112	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	313						
31	28	111	113	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	314						
31	28	223/2	227/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	315						
31	28	112	114	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	316						
31	28	113	115	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	317						
32	29	114	116	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	318						
32	29	229/2	233/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	319						
32	29	115	117	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	320						
32	29	231/2	235/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	321						
32	29	116	118	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	322						
32	29	233/2	237/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	323						
32	29	117	119	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	324						
32	29	235/2	239/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	325						
32	29	114	116	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	326						
32	29	116	118	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	327						
33	30	118	120	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	328						
33	30	237/2	241/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	329						
33	30	119	121	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	330						
33	30	239/2	243/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	331						
33	30	120	122	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	332						
33	30	241/2	245/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	333						
33	30	121	123	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	334						
33	30	243/2	247/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	335						
33	30	118	120	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	336						
33	30	119	121	0.5		1/4	1/4	Chord	2/2	2	1	1/8		1/8	1	337						
33	30	239/2	243/2	0.5		3/8	3/8	Chord	2/2	2	1	1/8		1/8	1	338						
33	30	120	122	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	339						
33	30	121	123	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	340						
34	31	122	124	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	341						
34	31	245/2	249/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	342						
34	31	123	125	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	343						
34	31	247/2	251/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	344						
34	31	124	126	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	345						
34	31	249/2	253/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	346						
34	31	125	127	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	347						
34	31	251/2	255/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	348						
34	31	122	124	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	349						
34	31	124	126	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	350						
35	32	126	128	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	351						
35	32	253/2	257/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	352						
35	32	127	129	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	353						
35	32	255/2	259/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	354						
35	32	128	130	0.5		1/2	1/2	Chord	2/2	1	1	1/8		1/8	1	355						
35	32	257/2	261/2	0.5		5/8	5/8	Chord	2/2	1	1	1/8		1/8	1	356						
35	32	129	131	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	357						
35	32	259/2	263/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	358						
35	32	126	128	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	359						
35	32	127	129	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	360						
35	32	128	130	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	361						
35	32	129	131	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	362						
36	33	130	132	0.5		0	0	Chord	2/2	1	1	1/8		1/8	1	363						
36	33	261/2	265/2	0.5		1/8	1/8	Chord	2/2	1	1	1/8		1/8	1	364						
36	33	131	133	0.5		1/4	1/4	Chord	2/2	1	1	1/8		1/8	1	365						
36	33	263/2	267/2	0.5		3/8	3/8	Chord	2/2	1	1	1/8		1/8	1	366						
36	33	132	134	1.0		1/2	1/2	Chord	2/2	1	1	1/4		1/4	1	367						
36	33	133	135	0.5		3/4	3/4	Chord	2/2	1	1	1/8		1/8	1	368	ornamentShortTrill					
36	33	267/2	271/2	0.5		7/8	7/8	Chord	2/2	1	1	1/8		1/8	1	369						
36	33	130	132	1.0		0	0	Chord	2/2	2	1	1/4		1/4	1	370						
36	33	131	133	1.0		1/4	1/4	Chord	2/2	2	1	1/4		1/4	1	371						
36	33	132	134	1.0		1/2	1/2	Chord	2/2	2	1	1/4		1/4	1	372						
36	33	133	135	1.0		3/4	3/4	Chord	2/2	2	1	1/4		1/4	1	373						
37	34	134	136	2.0		0	0	Chord	2/2	1	1	1/2		1/2	1	374						
37	34	134	136	2.0		0	0	Chord	2/2	2	1	1/2		1/2	1	375						
