mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
58	55	1/4	1/4	3/8	2	1	ii%65	e	i		ii%65	ii	%	65					%7	1	1	3, 0, 4, 6		6	3	0	3	0.0	0.0	0.25	0.0
59	56	0	0	3/8	2	1	V	e	i		V	V							M	1	1	5, 9, 6		5	5	2	4	0.3333333333333333	0.125	0.375	0.25
59	56	1/4	1/4	3/8	2	1	V43	e	i		V43	V		43					Mm7	1	1	6, 3, 5, 9		5	6	0	3	0.0	0.0	0.25	0.0
60	57	0	0	3/8	2	1	V6/iv	e	i		V6/iv	V		6		iv			M	1	1	8, 5, 4		4	8	0	3	0.0	0.0	0.25	0.0
60	57	1/8	1/8	3/8	2	1	V7(b9)/iv	e	i		V7(b9)/iv	V		7	b9	iv			Mm7	1	1	4, 8, 5, 2	-8	4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
60	57	1/4	1/4	3/8	2	1	V6/iv	e	i		V6/iv	V		6		iv			M	1	1	8, 5, 4		4	8	0	3	0.0	0.0	0.25	0.0
61	58	0	0	3/8	2	1	iv	e	i		iv	iv							m	1	1	3, 0, 4		3	3	2	4	0.3333333333333333	0.125	0.375	0.25
61	58	1/4	1/4	3/8	2	1	ii43/III	e	i		ii43/III	ii		43		III			mm7	1	1	4, 1, 3, 0		3	4	0	3	0.0	0.0	0.25	0.0
62	59	0	0	3/8	2	1	V6/III	e	i		V6/III	V		6		III			M	1	1	6, 3, 2		2	6	0	3	0.0	0.0	0.25	0.0
62	59	1/8	1/8	3/8	2	1	V7(b9)/III	e	i		V7(b9)/III	V		7	b9	III			Mm7	1	1	2, 6, 3, 0	-3	2	2	0	3	0.0	0.0	0.25	0.0
62	59	1/4	1/4	3/8	2	1	V6/III	e	i		V6/III	V		6		III			M	1	1	6, 3, 2		2	6	0	3	0.0	0.0	0.25	0.0
63	60	0	0	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	2	2	0.5	0.125	0.25	0.3333333333333333
63	60	3/16	3/16	3/8	2	1	V(64)/III	e	i		V(64)/III	V			64	III			M	1	1	2, 1, 5		2	2	0	2	0.0	0.0	0.125	0.0
63	60	1/4	1/4	3/8	2	1	V43/III	e	i		V43/III	V		43		III			Mm7	1	1	3, 0, 2, 6		2	3	0	3	0.0	0.0	0.25	0.0
64	61	0	0	3/8	2	1	III6	e	i		III6	III		6					M	1	1	5, 2, 1		1	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
64	61	1/8	1/8	3/8	2	1	III	e	i		III	III							M	1	1	1, 5, 2		1	1	0	3	0.0	0.0	0.25	0.0
64	61	1/4	1/4	3/8	2	1	v6/III	e	i		v6/III	v		6		III			m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.125	0.0
65	62	0	0	3/8	2	1	IV/III	e	i		IV/III	IV				III			M	1	1	0, 4, 1		0	0	1	2	0.3333333333333333	0.0625	0.1875	0.25
