mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	pedalend	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
14	13	1/2	1/2	4/4	2	1	viio64(2)/V				A	V		viio64(2)/V	vii	o	64	2	V				o	0	0	4, 5, 7		10.0	4.0	0	5	0.0	0.0	1.625	0.0
14	13	5/8	5/8	4/4	2	1	viio64/V				A	V		viio64/V	vii	o	64		V				o	0	0	4, 10, 7		10.0	4.0	1	1	0.5	0.0625	0.0625	0.5
14	13	3/4	3/4	4/4	2	1	V2/V				A	V		V2/V	V		2		V				Mm7	0	0	4, 6, 10, 7		6.0	4.0	1	3	0.25	0.0625	0.1875	0.25
15	14	0	0	4/4	2	1	V7				A	V		V7	V		7						Mm7	0	0	5, 9, 6, 3		5.0	5.0	0	9	0.0	0.0	1.5625	0.0
15	14	1/4	1/4	4/4	2	1	I(974)				A	V		I(974)	I			974					M	0	0	4, 3, 5	6, 9	4.0	4.0	1	5	0.16666666666666666	0.1875	0.625	0.23076923076923078
15	14	3/8	3/8	4/4	2	1	I6				A	V		I6	I		6						M	0	0	8, 5, 4		4.0	8.0	1	2	0.3333333333333333	0.0625	0.25	0.2
15	14	1/2	1/2	4/4	2	1	V(4)				A	V		V(4)	V			4					M	0	0	5, 4, 6		5.0	5.0	0	5	0.0	0.0	1.375	0.0
15	14	5/8	5/8	4/4	2	1	V				A	V		V	V								M	0	0	5, 9, 6		5.0	5.0	3	4	0.42857142857142855	0.1875	0.4375	0.3
16	15	0	0	4/4	2	1	V7				A	V		V7	V		7						Mm7	0	0	5, 9, 6, 3		5.0	5.0	0	9	0.0	0.0	1.5625	0.0
16	15	1/4	1/4	4/4	2	1	I6(97)				A	V		I6(97)	I		6	97					M	0	0	8, 5, 9	6	4.0	8.0	0	4	0.0	0.0	0.5625	0.0
16	15	3/8	3/8	4/4	2	1	viio2/V				A	V		viio2/V	vii	o	2		V				o7	0	0	1, 10, 7, 4		10.0	1.0	0	3	0.0	0.0	0.3125	0.0
16	15	1/2	1/2	4/4	2	1	V(43)				A	V		V(43)	V			43					M	0	0	5, 4, 6		5.0	5.0	2	5	0.2857142857142857	0.0625	1.1875	0.05
16	15	5/8	5/8	4/4	2	1	I				A	V		I	I								M	0	0	4, 8, 5		4.0	4.0	2	3	0.4	0.0625	0.1875	0.25
16	15	3/4	3/4	4/4	2	1	V				A	V		V	V								M	0	0	5, 9, 6		5.0	5.0	1	2	0.3333333333333333	0.0625	0.25	0.2
16	15	7/8	7/8	4/4	2	1	V7]	-0.8	-7	/	A	V		V7	V		7			]			Mm7	0	0	5, 9, 6, 3		5.0	5.0	1	1	0.5	0.0625	0.125	0.3333333333333333
17	16	0	0	4/4	2	1	I[I(4)				A	V	I	I(4)	I			4					M	0	0	4, 3, 5		4.0	4.0	0	5	0.0	0.0	1.0	0.0
17	16	1/8	1/8	4/4	2	1	I				A	V		I	I								M	0	0	4, 8, 5		4.0	4.0	2	1	0.6666666666666666	0.125	0.125	0.5
17	16	1/4	1/4	4/4	2	1	IV				A	V		IV	IV								M	0	0	3, 7, 4		3.0	3.0	1	3	0.25	0.0625	0.4375	0.125
17	16	3/8	3/8	4/4	2	1	ii7				A	V		ii7	ii		7						mm7	0	0	6, 3, 7, 4		6.0	6.0	0	1	0.0	0.0	0.125	0.0
17	16	7/16	7/16	4/4	2	1	viio65				A	V		viio65	vii	o	65						o7	0	0	6, 3, 0, 9		9.0	6.0	0	3	0.0	0.0	0.1875	0.0
17	16	1/2	1/2	4/4	2	1	I]|PAC}				A	V		I	I					]	PAC	}	M	0	0	4, 8, 5		4.0	4.0	0	13	0.0	0.0	2.5	0.0
18	16	0	15/16	4/4	2	1	I.V{				A	I		V	V							{	M	0	0	4, 8, 5		4.0	4.0	0	16	0.0	0.0	2.3125	0.0
19	17	1/2	1/2	4/4	2	1	V43/ii				A	I		V43/ii	V		43		ii				Mm7	0	0	7, 4, 6, 10		6.0	7.0	1	6	0.14285714285714285	0.0625	1.6875	0.03571428571428571
19	17	3/4	3/4	4/4	2	1	V7/ii				A	I		V7/ii	V		7		ii				Mm7	0	0	6, 10, 7, 4		6.0	6.0	0	4	0.0	0.0	0.25	0.0
20	18	0	0	4/4	2	1	ii6(9#7)				A	I		ii6(9#7)	ii		6	9#7					m	0	0	2, 6, 10	7	5.0	2.0	1	10	0.09090909090909091	0.0625	1.375	0.043478260869565216
20	18	1/4	1/4	4/4	2	1	ii6				A	I		ii6	ii		6						m	0	0	2, 6, 5		5.0	2.0	0	11	0.0	0.0	1.4375	0.0
20	18	1/2	1/2	4/4	2	1	ii%7/ii				A	I		ii%7/ii	ii	%	7		ii				%7	0	0	7, 4, 1, 5		7.0	7.0	0	9	0.0	0.0	1.0	0.0
20	18	3/4	3/4	4/4	2	1	V7/ii				A	I		V7/ii	V		7		ii				Mm7	0	0	6, 10, 7, 4		6.0	6.0	0	8	0.0	0.0	0.875	0.0
21	19	0	0	4/4	2	1	i/ii|IAC}{				A	I		i/ii	i				ii		IAC	}{	m	0	0	5, 2, 6		5.0	5.0	2	6	0.25	0.125	1.25	0.09090909090909091
21	19	3/8	3/8	4/4	2	1	bII6/vi				A	I		bII6/vi	bII		6		vi				M	0	0	5, 2, 1		1.0	5.0	0	2	0.0	0.0	0.125	0.0
21	19	1/2	1/2	4/4	2	1	V43/vi				A	I		V43/vi	V		43		vi				Mm7	0	0	8, 5, 7, 11		7.0	8.0	1	6	0.14285714285714285	0.0625	1.6875	0.03571428571428571
21	19	3/4	3/4	4/4	2	1	V7/vi				A	I		V7/vi	V		7		vi				Mm7	0	0	7, 11, 8, 5		7.0	7.0	7	7	0.5	1.0625	0.75	0.5862068965517241
22	20	1/4	1/4	4/4	2	1	IV2/vi				A	I		IV2/vi	IV		2		vi				Mm7	0	0	3, 5, 9, 6		5.0	3.0	0	10	0.0	0.0	1.1875	0.0
22	20	1/2	1/2	4/4	2	1	V43/vi				A	I		V43/vi	V		43		vi				Mm7	0	0	8, 5, 7, 11		7.0	8.0	1	8	0.1111111111111111	0.0625	0.5625	0.1
22	20	3/4	3/4	4/4	2	1	i/vi				A	I		i/vi	i				vi				m	0	0	6, 3, 7		6.0	6.0	1	3	0.25	0.0625	0.3125	0.16666666666666666
22	20	7/8	7/8	4/4	2	1	#viio65/vi				A	I		#viio65/vi	#vii	o	65		vi				o7	0	0	8, 5, 2, 11		11.0	8.0	1	3	0.25	0.0625	0.25	0.2
23	21	0	0	4/4	2	1	i6/vi				A	I		i6/vi	i		6		vi				m	0	0	3, 7, 6		6.0	3.0	2	2	0.5	0.125	0.25	0.3333333333333333
23	21	1/8	1/8	4/4	2	1	ii%65/vi				A	I		ii%65/vi	ii	%	65		vi				%7	0	0	5, 2, 6, 8		8.0	5.0	1	3	0.25	0.0625	0.25	0.2
23	21	1/4	1/4	4/4	2	1	V(64)/vi				A	I		V(64)/vi	V			64	vi				M	0	0	7, 6, 3		7.0	7.0	0	4	0.0	0.0	0.4375	0.0
23	21	3/8	3/8	4/4	2	1	V/vi				A	I		V/vi	V				vi				M	0	0	7, 11, 8		7.0	7.0	0	3	0.0	0.0	0.3125	0.0
23	21	1/2	1/2	4/4	2	1	i/vi|PAC}{				A	I		i/vi	i				vi		PAC	}{	m	0	0	6, 3, 7		6.0	6.0	2	10	0.16666666666666666	0.125	0.9375	0.11764705882352941
23	21	7/8	7/8	4/4	2	1	iio6/iii				A	I		iio6/iii	ii	o	6		iii				o	0	0	6, 3, 9		9.0	6.0	1	3	0.25	0.0625	0.25	0.2
24	22	0	0	4/4	2	1	V7(9)/iii				A	I		V7(9)/iii	V		7	9	iii				Mm7	0	0	8, 12, 9, 6	3	8.0	8.0	0	6	0.0	0.0	0.75	0.0
24	22	1/4	1/4	4/4	2	1	V7/iii				A	I		V7/iii	V		7		iii				Mm7	0	0	8, 12, 9, 6		8.0	8.0	1	7	0.125	0.0625	0.4375	0.125
24	22	1/2	1/2	4/4	2	1	i/iii				A	I		i/iii	i				iii				m	0	0	7, 4, 8		7.0	7.0	1	4	0.2	0.0625	0.4375	0.125
24	22	5/8	5/8	4/4	2	1	VI/iii				A	I		VI/iii	VI				iii				M	0	0	3, 7, 4		3.0	3.0	1	3	0.25	0.0625	0.1875	0.25
24	22	3/4	3/4	4/4	2	1	iv7/iii				A	I		iv7/iii	iv		7		iii				mm7	0	0	6, 3, 7, 4		6.0	6.0	0	5	0.0	0.0	0.5	0.0
24	22	7/8	7/8	4/4	2	1	iio/iii				A	I		iio/iii	ii	o			iii				o	0	0	9, 6, 3		9.0	9.0	1	3	0.25	0.0625	0.1875	0.25
25	23	0	0	4/4	2	1	V7/iii				A	I		V7/iii	V		7		iii				Mm7	0	0	8, 12, 9, 6		8.0	8.0	2	8	0.2	0.125	0.875	0.125
25	23	1/4	1/4	4/4	2	1	iii6				A	I		iii6	iii		6						m	0	0	4, 8, 7		7.0	4.0	1	4	0.2	0.0625	0.5625	0.1
25	23	3/8	3/8	4/4	2	1	V64(4)/iii				A	I		V64(4)/iii	V		64	4	iii				M	0	0	9, 8, 7		8.0	9.0	0	2	0.0	0.0	0.1875	0.0
25	23	7/16	7/16	4/4	2	1	V64/iii				A	I		V64/iii	V		64		iii				M	0	0	9, 8, 12		8.0	9.0	0	2	0.0	0.0	0.125	0.0
25	23	1/2	1/2	4/4	2	1	iii				A	I		iii	iii								m	0	0	7, 4, 8		7.0	7.0	4	4	0.5	0.25	0.25	0.5
25	23	3/4	3/4	4/4	2	1	V/iii				A	I		V/iii	V				iii				M	0	0	8, 12, 9		8.0	8.0	1	5	0.16666666666666666	0.0625	0.9375	0.0625
26	24	0	0	4/4	2	1	i/iii|PAC}{				A	I		i/iii	i				iii		PAC	}{	m	0	0	7, 4, 8		7.0	7.0	3	13	0.1875	0.1875	1.625	0.10344827586206896
26	24	1/2	1/2	4/4	2	1	#viio7/ii				A	I		#viio7/ii	#vii	o	7		ii				o7	0	0	10, 7, 4, 1		10.0	10.0	2	6	0.25	0.125	0.375	0.25
26	24	3/4	3/4	4/4	2	1	V7/ii				A	I		V7/ii	V		7		ii				Mm7	0	0	6, 10, 7, 4		6.0	6.0	1	7	0.125	0.0625	0.4375	0.125
27	25	0	0	4/4	2	1	i/ii				A	I		i/ii	i				ii				m	0	0	5, 2, 6		5.0	5.0	3	12	0.2	0.1875	1.4375	0.11538461538461539
27	25	1/2	1/2	4/4	2	1	vii%7				A	I		vii%7	vii	%	7						%7	0	0	8, 5, 2, 6		8.0	8.0	3	7	0.3	0.125	0.375	0.25
27	25	3/4	3/4	4/4	2	1	V7				A	I		V7	V		7						Mm7	0	0	4, 8, 5, 2		4.0	4.0	2	7	0.2222222222222222	0.09375	0.40625	0.1875
28	26	0	0	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	2	13	0.13333333333333333	0.125	1.5	0.07692307692307693
28	26	1/2	1/2	4/4	2	1	IV6				A	I		IV6	IV		6						M	0	0	6, 3, 2		2.0	6.0	4	4	0.5	0.25	0.25	0.5
28	26	3/4	3/4	4/4	2	1	ii65				A	I		ii65	ii		65						mm7	0	0	2, 6, 3, 5		5.0	2.0	2	6	0.25	0.125	0.375	0.25
29	27	0	0	4/4	2	1	V|IAC}{				A	I		V	V						IAC	}{	M	0	0	4, 8, 5		4.0	4.0	0	4	0.0	0.0	0.375	0.0
29	27	3/16	3/16	4/4	2	1	V2				A	I		V2	V		2						Mm7	0	0	2, 4, 8, 5		4.0	2.0	0	2	0.0	0.0	0.125	0.0
29	27	1/4	1/4	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	1	9	0.1	0.0625	0.8125	0.07142857142857142
29	27	11/16	11/16	4/4	2	1	V2/IV				A	I		V2/IV	V		2		IV				Mm7	0	0	1, 3, 7, 4		3.0	1.0	0	2	0.0	0.0	0.125	0.0
29	27	3/4	3/4	4/4	2	1	IV				A	I		IV	IV								M	0	0	2, 6, 3		2.0	2.0	1	5	0.16666666666666666	0.0625	0.4375	0.125
30	28	0	0	4/4	2	1	IV				A	I		IV	IV								M	0	0	2, 6, 3		2.0	2.0	0	3	0.0	0.0	0.25	0.0
30	28	1/8	1/8	4/4	2	1	I6				A	I		I6	I		6						M	0	0	7, 4, 3		3.0	7.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
30	28	1/4	1/4	4/4	2	1	ii				A	I		ii	ii								m	0	0	5, 2, 6		5.0	5.0	0	3	0.0	0.0	0.25	0.0
30	28	3/8	3/8	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
30	28	1/2	1/2	4/4	2	1	ii				A	I		ii	ii								m	0	0	5, 2, 6		5.0	5.0	0	3	0.0	0.0	0.25	0.0
30	28	5/8	5/8	4/4	2	1	I				A	I		I	I								M	0	0	3, 7, 4		3.0	3.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
30	28	3/4	3/4	4/4	2	1	viio				A	I		viio	vii	o							o	0	0	8, 5, 2		8.0	8.0	0	3	0.0	0.0	0.25	0.0
30	28	7/8	7/8	4/4	2	1	vi				A	I		vi	vi								m	0	0	6, 3, 7		6.0	6.0	1	2	0.3333333333333333	0.0625	0.1875	0.25
31	29	0	0	4/4	2	1	V[V|IAC}{				A	I	V	V	V						IAC	}{	M	0	0	4, 8, 5		4.0	4.0	2	14	0.125	0.125	2.0	0.058823529411764705
31	29	1/2	1/2	4/4	2	1	viio64(2)/V				A	I		viio64(2)/V	vii	o	64	2	V				o	0	0	3, 4, 6		9.0	3.0	0	5	0.0	0.0	1.625	0.0
