mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
13	12	1/2	1/2	4/4	2	1	iio64/v				1	e	i	V	iio64/v	ii	o	64		v			o	1	1	1, 7, 4		7	1	1	6	0.14285714285714285	0.25	0.6875	0.26666666666666666
13	12	5/8	5/8	4/4	2	1	viio64/V				1	e	i	V	viio64/V	vii	o	64		V			o	1	1	4, 10, 7		10	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
13	12	3/4	3/4	4/4	2	1	V\\				1	e	i	V	V	V						\\	M	1	1	5, 9, 6		5	5	0	5	0.0	0.0	0.8125	0.0
13	12	13/16	13/16	4/4	2	1	V7]				1	e	i	V	V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	2	2	0.5	0.125	0.125	0.5
14	12	0	0	4/4	2	1	V[V				2	e	i	V	V	V							M	1	1	5, 9, 6		5	5	1	2	0.3333333333333333	0.0625	1.0	0.058823529411764705
14	12	1/8	1/8	4/4	2	1	V7				2	e	i	V	V7	V		7					Mm7	1	1	5, 9, 6, 3		5	5	0	2	0.0	0.0	0.1875	0.0
14	12	1/4	1/4	4/4	2	1	i				2	e	i	V	i	i							m	1	1	4, 1, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	12	3/8	3/8	4/4	2	1	v				2	e	i	V	v	v							m	1	1	5, 2, 6		5	5	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	12	1/2	1/2	4/4	2	1	iio64/v				2	e	i	V	iio64/v	ii	o	64		v			o	1	1	1, 7, 4		7	1	1	6	0.14285714285714285	0.25	0.6875	0.26666666666666666
14	12	5/8	5/8	4/4	2	1	viio64/V				2	e	i	V	viio64/V	vii	o	64		V			o	1	1	4, 10, 7		10	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
14	12	3/4	3/4	4/4	2	1	V]\\				2	e	i	V	V	V						\\	M	1	1	5, 9, 6		5	5	1	11	0.08333333333333333	0.0625	1.8125	0.03333333333333333
16	13	1/4	1/4	4/4	2	1	#viio					e	i		#viio	#vii	o						o	1	1	9, 6, 3		9	9	5	8	0.38461538461538464	0.3125	0.625	0.3333333333333333
